icao24,origin_country,velocity,geo_altitude
a8303e,United States,False,
a1ab98,United States,False,
a41e94,United States,False,
ab5b2b,United States,False,
a472d9,United States,False,
a41e90,United States,False,
471d5e,Hungary,False,
a3c8cb,United States,False,
a472ac,United States,False,
847183,Japan,False,
a41e74,United States,False,
8003e4,India,False,
accb06,United States,False,
e49ca9,Brazil,False,
a12732,United States,False,
a12733,United States,False,
a77e97,United States,True,
a04daf,United States,False,
a9c5c5,United States,False,
89619a,United Arab Emirates,False,
7cb05c,Australia,False,
7cb05d,Australia,False,
801800,India,False,
a88b46,United States,True,
adc95d,United States,False,
ada302,United States,False,
a842ac,United States,False,
a16db9,United States,False,
ad5329,United States,False,
7cb063,Australia,False,
7cb061,Australia,False,
801811,India,False,
a1272d,United States,False,
896198,United Arab Emirates,False,
a842e7,United States,False,
ac2038,United States,False,
738100,Israel,False,
a64b96,United States,False,
a40b85,United States,False,
ac335b,United States,False,
89618e,United Arab Emirates,False,
a12723,United States,False,
c031c9,Canada,False,
3c15c1,Germany,False,
a1270a,United States,False,
a12778,United States,False,
a24757,United States,False,
a5e2a5,United States,False,
a602ab,United States,False,
801839,India,False,
7c0b0f,Australia,False,
c044b2,Canada,False,
896174,United Arab Emirates,False,
896173,United Arab Emirates,False,
896178,United Arab Emirates,False,
a04dfa,United States,False,
80182d,India,False,
ac205f,United States,False,
80183b,India,False,
a748f8,United States,False,
a1010c,United States,False,
89616a,United Arab Emirates,False,
a602be,United States,False,
801851,India,False,
ae6020,United States,False,
a868d2,United States,False,
ab38a1,United States,False,
ad5398,United States,False,
a12750,United States,False,
a12753,United States,False,
a12755,United States,False,
a12756,United States,True,
a12758,United States,False,
ac2082,United States,False,
801819,India,False,
781b38,China,False,
a3eb7a,United States,False,
a11420,United States,False,
a722b1,United States,False,
aa4e47,United States,False,
801826,India,False,
c07a14,Canada,False,
801831,India,False,
7cc565,Australia,True,
abbeb6,United States,False,
a0f46b,United States,False,
a0f46f,United States,False,
a34119,United States,False,
a39ab4,United States,True,
a77dae,United States,False,
a12797,United States,False,
a4c434,United States,False,
a2ddac,United States,False,
a28de3,United States,False,
7c7555,Australia,False,
a22123,United States,False,
aaf53a,United States,False,
a0f44c,United States,False,
7c754f,Australia,False,
acdea4,United States,False,
ac486a,United States,False,
ab6efc,United States,False,
ababb7,United States,False,
ab0245,United States,False,
aaf562,United States,False,
a9b2e9,United States,False,
a7bb77,United States,False,
ac4888,United States,False,
ad6884,United States,False,
a09188,United States,False,
abbefa,United States,False,
a8db58,United States,False,
300a9d,Italy,False,
8a03c8,Indonesia,False,
a8db54,United States,False,
ada51e,United States,True,
ada521,United States,False,
a2ddef,United States,False,
440189,Austria,False,
440196,Austria,False,
8a03ac,Indonesia,False,
440193,Austria,False,
452169,Bulgaria,False,
a36799,United States,False,
ac20c4,United States,False,
e4a549,Brazil,False,
471dbb,Hungary,False,
a9b427,United States,False,
8018a8,India,False,
abac67,United States,False,
0d12f1,Mexico,False,
a28f12,United States,False,
440122,Austria,False,
45212d,Bulgaria,False,
8a0522,Indonesia,False,
471da8,Hungary,False,
452138,Bulgaria,False,
452134,Bulgaria,False,
c03488,Canada,False,
a3ff0a,United States,False,
8a0517,Indonesia,False,
a15c01,United States,False,
471db6,Hungary,False,
a3ff26,United States,False,
471db0,Hungary,True,
4bb2b2,Turkey,False,
a499e1,United States,False,
8a0507,Indonesia,False,
aa3bf0,United States,False,
a246cb,United States,False,
4bb2aa,Turkey,False,
4bb2ab,Turkey,False,
a3b79c,United States,False,
a41f37,United States,False,
7020a9,Bangladesh,True,
8005b9,India,False,
7020a2,Bangladesh,False,
7020a3,Bangladesh,False,
7020ab,Bangladesh,True,
a61797,United States,False,
4bb2ad,Turkey,False,
781aa8,China,False,
7020b2,Bangladesh,False,
a58149,United States,False,
7020b8,Bangladesh,False,
ab6ea5,United States,False,
a379d3,United States,False,
ab2839,United States,False,
a03c3d,United States,False,
a379cd,United States,True,
ab6eb9,United States,False,
781ac4,China,False,
ac481d,United States,False,
440102,Austria,False,
a4c492,United States,True,
e4a54d,Brazil,False,
a4b158,United States,False,
aaf503,United States,False,
a39c62,United States,False,
aca9b6,United States,False,
8004e0,India,False,
a353d2,United States,False,
a27c78,United States,True,
8017e5,India,False,
aa06b7,United States,False,
a3ff97,United States,False,
a52c4f,United States,False,
4bb1c4,Turkey,False,
4892c0,Poland,False,
8017f3,India,False,
4892c5,Poland,False,
4892c4,Poland,False,
a233ce,United States,False,
8017ee,India,False,
c04738,Canada,False,
a52c5c,United States,False,
7cc3fc,Australia,False,
a40c7b,United States,False,
a53f20,United States,False,
ae0c09,United States,False,
aa4f18,United States,False,
a0e0fb,United States,False,
c81a47,New Zealand,False,
a3ff33,United States,False,
ae0c11,United States,False,
884214,Thailand,False,
ac33c4,United States,False,
8a0579,Indonesia,False,
884207,Thailand,False,
ae1f30,United States,False,
884202,Thailand,False,
884203,Thailand,False,
884205,Thailand,False,
7380c2,Israel,False,
ac20a1,United States,False,
7380c6,Israel,False,
7380c4,Israel,True,
7380c9,Israel,False,
a9b43f,United States,True,
c81a5b,New Zealand,False,
344344,Spain,False,
a100fe,United States,False,
ab5c85,United States,False,
a96481,United States,False,
a593a0,United States,False,
ac33e2,United States,False,
a04ecf,United States,False,
c81a90,New Zealand,False,
ac345d,United States,False,
a9fc34,United States,False,
a963cd,United States,False,
ae1ddf,United States,False,
a04edb,United States,False,
a76c79,United States,False,
ae1dd5,United States,False,
ab148b,United States,False,
aa90c2,United States,False,
adfdde,United States,False,
abaadd,United States,False,
ad5480,United States,False,
3c4a02,Germany,False,
ac2173,United States,False,
3c4a01,Germany,False,
a3a509,United States,True,
a710df,United States,False,
781c27,China,False,
a4c3e4,United States,False,
a5f6ef,United States,False,
a4c3e8,United States,False,
4bb323,Turkey,False,
ae7481,United States,False,
c045d1,Canada,False,
abaafe,United States,False,
accaf4,United States,False,
a1288b,United States,False,
a8a6d0,United States,True,
a1bee0,United States,True,
a856ee,United States,False,
c07b42,Canada,False,
c07b39,Canada,False,
ac59aa,United States,False,
a736ff,United States,False,
781bf4,China,False,
a5867f,United States,False,
aa8477,United States,False,
ac5ab7,United States,False,
abe101,United States,False,
a8496e,United States,False,
ad342e,United States,False,
c012a5,Canada,False,
8a0816,Indonesia,False,
c012a7,Canada,True,
7c6366,Australia,False,
a57379,United States,False,
aac136,United States,True,
adddd5,United States,False,
4079cd,United Kingdom,False,
a69367,United States,False,
7c6359,Australia,False,
aa1ac4,United States,False,
abe124,United States,False,
a4400d,United States,False,
7c0cfc,Australia,False,
a0c075,United States,False,
a81000,United States,False,
a5d68a,United States,True,
a87cbe,United States,False,
3954a0,France,False,
020104,Morocco,False,
a3dcd6,United States,True,
4bb299,Turkey,False,
a7bfa0,United States,False,
738288,Israel,False,
738287,Israel,False,
4bb294,Turkey,False,
738286,Israel,False,
ac015f,United States,False,
abf480,United States,False,
a57337,United States,False,
ac5afd,United States,False,
aac189,United States,False,
73957c,Israel,False,
c025d2,Canada,False,
a095b4,United States,False,
4066ce,United Kingdom,False,
3c5b31,Germany,False,
4bb283,Turkey,False,
ae412b,United States,False,
c00089,Canada,False,
a9ecff,United States,False,
a01b74,United States,False,
7c7611,Australia,False,
a26e4a,United States,False,
a13b1e,United States,False,
a4b5b6,United States,False,
a3a8ef,United States,False,
a26e3a,United States,False,
a0f8f1,United States,True,
c038aa,Canada,False,
a105e8,United States,False,
c038a3,Canada,False,
c00042,Canada,False,
a2be6d,United States,False,
506ca0,Slovenia,False,
aae745,United States,False,
4bb1a2,Turkey,False,
a87cf9,United States,False,
a6e361,United States,False,
a8233a,United States,False,
020123,Morocco,False,
7c764c,Australia,False,
a6e385,United States,False,
a8dff1,United States,False,
a37b45,United States,False,
a9eca5,United States,False,
a9eca9,United States,False,
a26e90,United States,False,
a3a8c0,United States,True,
a8103e,United States,False,
a93006,United States,False,
aac111,United States,True,
8a0838,Indonesia,False,
a25b3f,United States,False,
a8dffc,United States,False,
a9b971,United States,False,
8005f5,India,False,
780a63,China,True,
a968f8,United States,False,
7cfa34,Australia,False,
780a67,China,True,
acab0e,United States,False,
344043,Spain,False,
344045,Spain,True,
780a71,China,False,
acbe37,United States,False,
34668c,Spain,False,
895052,Brunei Darussalam,False,
7c61d1,Australia,False,
896382,United Arab Emirates,True,
895057,Brunei Darussalam,False,
a6f5d7,United States,False,
780a6a,China,False,
ac5b43,United States,False,
780a6f,China,False,
abf2c2,United States,False,
a09702,United States,False,
a2ab6c,United States,False,
ac12be,United States,False,
ae52a5,United States,False,
adde49,United States,False,
a5c2ea,United States,False,
a37b5a,United States,False,
780a93,China,False,
7c74ce,Australia,False,
c06cdd,Canada,False,
a702ca,United States,False,
a25b94,United States,False,
ac5b66,United States,False,
a63e3a,United States,False,
89631b,United Arab Emirates,False,
4bb0f4,Turkey,True,
896326,United Arab Emirates,False,
a99e09,United States,False,
a34729,United States,True,
a7f08e,United States,False,
c07fbb,Canada,False,
89631d,United Arab Emirates,False,
a585cc,United States,False,
780a9b,China,True,
a63e46,United States,False,
c07fb4,Canada,False,
c07fb5,Canada,False,
846098,Japan,False,
88434b,Thailand,False,
841e00,Japan,False,
4bb0e8,Turkey,False,
a715c6,United States,False,
896313,United Arab Emirates,False,
c07fbf,Canada,True,
89630c,United Arab Emirates,False,
a37aa3,United States,False,
a98b8b,United States,False,
abf396,United States,False,
a38dd8,United States,False,
ac006d,United States,False,
6832b3,Kazakhstan,False,
a13ace,United States,False,
abe075,United States,False,
a4671f,United States,False,
a3472f,United States,True,
a9ee84,United States,False,
a75da2,United States,False,
a75da8,United States,False,
8a07ea,Indonesia,False,
780a13,China,False,
780a18,China,False,
89639f,United Arab Emirates,False,
780a0e,China,False,
780a0b,China,False,
780a0c,China,False,
a2bdff,United States,False,
80073e,India,False,
780a1d,China,False,
4bb214,Turkey,False,
4bb20f,Turkey,False,
ac25c3,United States,False,
ad45a4,United States,False,
a2aab5,United States,False,
780a49,China,False,
780a46,China,True,
89505d,Brunei Darussalam,False,
89505c,Brunei Darussalam,False,
780a3e,China,False,
89505a,Brunei Darussalam,False,
e48fb7,Brazil,False,
800737,India,False,
aad2a8,United States,False,
800738,India,False,
800740,India,False,
a1e125,United States,False,
8a07b7,Indonesia,False,
8830ef,Thailand,False,
a44169,United States,False,
a44168,United States,False,
a70463,United States,False,
a69463,United States,False,
8830f2,Thailand,False,
8830f3,Thailand,False,
ad4873,United States,False,
a6946b,United States,False,
a4414a,United States,True,
a4a484,United States,False,
ac5bf6,United States,False,
c013d0,Canada,False,
4bb143,Turkey,False,
c013d4,Canada,False,
4bb142,Turkey,False,
4bb106,Turkey,False,
a49ae3,United States,True,
a3a9a3,United States,True,
7c7794,Australia,False,
a7178c,United States,True,
a83787,United States,True,
7c7795,Australia,False,
a119af,United States,False,
75005c,Malaysia,False,
c013de,Canada,True,
8963d3,United Arab Emirates,False,
aa720f,United States,False,
8963d2,United Arab Emirates,False,
a0e6c4,United States,False,
a0e6c6,United States,False,
a69424,United States,False,
a4418c,United States,False,
8963e6,United Arab Emirates,True,
a4418d,United States,False,
a359c2,United States,False,
8963cf,United Arab Emirates,True,
a13c43,United States,False,
4bb186,Turkey,False,
a44197,United States,True,
4bb183,Turkey,False,
a359bc,United States,False,
8963e7,United Arab Emirates,False,
a63df3,United States,False,
4bb156,Turkey,False,
4bb155,Turkey,False,
a44187,United States,False,
a9db7c,United States,False,
781e14,China,False,
4bb14b,Turkey,False,
